trial;tc;nv;feasible;execTime;totalIterations;numSolutionsEvaluation;
1;38680.05503786727;74;true;600011;21710;43603;
2;38850.356658008764;74;true;600012;21456;43097;
3;38902.841771523155;74;true;600005;22067;44315;
4;38947.12529029974;74;true;600029;22078;44305;
5;39009.80710092754;74;true;600034;21965;44063;
6;39044.48316163748;74;true;600027;21262;42739;
7;39065.596585018226;74;true;600005;20187;40531;
8;39079.98069424647;74;true;600012;22288;44719;
9;39079.98069424647;74;true;600022;22305;44753;
10;39124.46943165696;74;true;600024;21546;43231;
11;39198.46397374906;74;true;600001;20660;41505;
12;39247.548105354734;74;true;600033;21531;43241;
13;39291.56865669097;74;true;600017;20396;40977;
14;39311.23454701996;74;true;600028;20198;40577;
15;39355.70986844938;74;true;600006;21441;43049;
16;39415.26707378594;74;true;600018;21067;42277;
17;39448.5212501637;74;true;600011;21097;42409;
18;39477.614672810596;74;true;600000;20292;40761;
19;39499.73858604221;74;true;600029;21109;42379;
20;39508.5638152951;74;true;600005;20410;41019;
21;39516.102346868516;74;true;600043;21178;42541;
22;39542.62050626334;74;true;600017;21956;44083;
23;39550.29790488882;74;true;600019;21006;42195;
24;39586.88931429803;74;true;600011;20603;41399;
25;39702.641260558914;74;true;600020;21962;44079;
26;39736.64268866916;74;true;600006;21321;42819;
27;39788.13300027147;74;true;600008;20511;41175;
28;39789.61015746218;74;true;600006;20418;40983;
29;40253.91757837827;74;true;600015;21883;43917;
30;39002.46010402119;75;true;600015;21361;42869;
