trial;tc;nv;feasible;execTime;totalIterations;numSolutionsEvaluation;
1;20855.18626538069;34;true;600001;69808;144639;
2;20870.857720790777;34;true;600000;70174;145462;
3;20925.074659658003;34;true;600011;74371;153763;
4;21335.083079141874;34;true;600003;69859;144887;
5;21480.88742516155;34;true;600002;85365;175803;
6;21511.80474281209;34;true;600006;64390;133931;
7;21524.57878320589;34;true;600007;72281;149662;
8;21643.768438694875;34;true;600000;101034;207228;
9;21824.09831381833;34;true;600000;84405;173886;
10;21945.94921904845;34;true;600005;69457;143988;
11;22296.164268610217;34;true;600000;78839;162824;
12;22409.049036861074;34;true;600000;64382;133856;
13;21383.364548426962;35;true;600005;62342;129753;
14;21763.577757523708;35;true;600001;65523;136260;
15;22005.14141425227;35;true;600001;63179;131437;
16;22015.169450184047;35;true;600011;62664;130505;
17;22221.612695417873;35;true;600000;87454;180090;
18;22310.702087798767;35;true;600000;68900;143040;
19;22378.729003405067;35;true;600003;66793;138747;
20;22504.110934127257;35;true;600000;65704;136631;
21;22657.079393858683;35;true;600002;64293;133751;
22;22728.67060605803;35;true;600001;79582;164306;
23;22856.45721123553;35;true;600005;64292;133762;
24;22928.752149730004;35;true;600000;95531;196213;
25;22504.447185732883;36;true;600004;60528;126262;
26;22620.672018960406;36;true;600006;69207;143681;
27;22808.25298129839;36;true;600000;73966;153051;
28;23211.356496138764;36;true;600001;89869;184771;
29;23251.864871907117;36;true;600005;66212;137511;
30;23458.53218073501;36;true;600000;112222;229572;
