trial;tc;nv;feasible;execTime;totalIterations;numSolutionsEvaluation;
1;50894.72349305275;51;true;120356;2066;4571;
2;49373.18121945977;52;true;120035;2311;5019;
3;49449.020290143395;52;true;120018;2313;5041;
4;49530.30677102231;52;true;120320;2091;4627;
5;49555.320516167776;52;true;120019;3054;6421;
6;49658.371434889166;52;true;120002;2252;4933;
7;49973.29327625177;52;true;120000;2413;5221;
8;50083.08811913585;52;true;120005;2065;4571;
9;50201.57952092338;52;true;120025;2187;4801;
10;50559.205372337914;52;true;120009;2256;4963;
11;50573.034657330645;52;true;120003;1889;4233;
12;50713.2990992612;52;true;120029;2074;4585;
13;50913.48729252965;52;true;120006;2162;4729;
14;51077.66784360323;52;true;120004;2187;4785;
15;48427.28972487845;53;true;120011;2163;4761;
16;48572.813461575584;53;true;120020;2321;5049;
17;48593.230329844526;53;true;120497;1615;3713;
18;48951.97724905943;53;true;120012;1963;4367;
19;49202.823022906196;53;true;120477;2197;4819;
20;49529.384827808135;53;true;120010;2142;4707;
21;49570.12789730381;53;true;120019;2166;4767;
22;49690.29280564142;53;true;120173;2009;4443;
23;49734.67075243543;53;true;120010;3237;6769;
24;49892.89335405633;53;true;120011;2607;5635;
25;49925.77724144173;53;true;120158;3081;6463;
26;50081.46519422023;53;true;120430;3076;6463;
27;50566.10775216786;53;true;120015;2340;5087;
28;50662.85456161205;53;true;120113;1934;4361;
29;51214.55178431629;53;true;120132;1995;4451;
30;51479.2953888971;53;true;120002;2292;4979;
