trial;tc;nv;feasible;execTime;totalIterations;numSolutionsEvaluation;
1;45541.7643428932;73;true;120010;3686;7547;
2;45542.66649574597;73;true;120017;2972;6221;
3;45606.43596941376;73;true;120003;3229;6699;
4;45612.09165734182;73;true;120001;3271;6783;
5;45612.09165734182;73;true;120017;3164;6569;
6;45615.32200206503;73;true;120001;3387;7009;
7;45652.529821116164;73;true;120008;2982;6219;
8;45680.50006402395;73;true;120012;3421;7043;
9;45837.8304005016;73;true;120001;3053;6369;
10;45837.93931341535;73;true;120026;3371;6973;
11;45853.248872645665;73;true;120006;3186;6623;
12;45911.80964140979;73;true;120007;3725;7635;
13;45921.89799254152;73;true;120023;3069;6391;
14;45991.403249950876;73;true;120003;3342;6909;
15;46009.39431886407;73;true;120008;3235;6701;
16;46070.07607138163;73;true;120020;3082;6415;
17;46088.94386049974;73;true;120022;3308;6847;
18;46300.82698755469;73;true;120023;3105;6461;
19;45575.32817680543;74;true;120005;3575;7345;
20;45608.634666036094;74;true;120001;2975;6227;
21;45662.54281784225;74;true;120013;3531;7247;
22;45782.042202257;74;true;120006;3679;7543;
23;45917.16342233971;74;true;120001;3295;6825;
24;45992.2221959999;74;true;120010;3404;7009;
25;46041.840521584316;74;true;120002;3036;6319;
26;46059.68585017032;74;true;120000;3339;6907;
27;46067.37154131596;74;true;120021;3166;6563;
28;46449.91050854805;74;true;120223;3177;6593;
29;45595.865040163975;75;true;120005;3620;7415;
30;45761.49453281281;75;true;120022;3250;6721;
