lc1_8_1;80;25184.38
lc1_8_2;76;30605.50
lc1_8_3;63;26461.77
lc1_8_4;59;22787.23
lc1_8_5;80;25211.22
lc1_8_6;80;25164.25
lc1_8_7;80;25158.38
lc1_8_8;77;27377.32
lc1_8_9;72;25889.48
lc1_8_10;69;26145.15
lc2_8_1;24;11687.06
lc2_8_2;24;13713.13
lc2_8_3;24;12990.87
lc2_8_4;23;13297.66
lc2_8_5;25;12298.33
lc2_8_6;24;12645.71
lc2_8_7;24;15133.86
lc2_8_8;24;11454.33
lc2_8_9;24;11629.41
lc2_8_10;23;12350.24
lr1_8_1;80;39291.32
lr1_8_2;59;34116.58
lr1_8_3;44;29305.13
lr1_8_4;25;20808.93
lr1_8_5;48;41071.36
lr1_8_6;38;38801.12
lr1_8_7;30;27592.35
lr1_8_8;19;21605.57
lr1_8_9;40;38583.11
lr1_8_10;31;30465.39
lr2_8_1;14;42122.84
lr2_8_2;11;38178.37
lr2_8_3;9;27417.48
lr2_8_4;6;21338.07
lr2_8_5;11;36151.05
lr2_8_6;9;29832.94
lr2_8_7;7;27017.95
lr2_8_8;5;19012.77
lr2_8_9;10;30791.77
lr2_8_10;8;31069.39
lrc1_8_1;66;32252.28
lrc1_8_2;56;27879.85
lrc1_8_3;48;24371.95
lrc1_8_4;34;18208.95
lrc1_8_5;58;31270.47
lrc1_8_6;54;29025.74
lrc1_8_7;50;29126.72
lrc1_8_8;44;28048.82
lrc1_8_9;44;25082.93
lrc1_8_10;40;23776.90
lrc2_8_1;20;23074.22
lrc2_8_2;17;22284.26
lrc2_8_3;14;20407.34
lrc2_8_4;11;14931.64
lrc2_8_5;16;23633.03
lrc2_8_6;15;22662.26
lrc2_8_7;13;26866.58
lrc2_8_8;11;23860.47
lrc2_8_9;10;23383.52
lrc2_8_10;9;20663.31
