feasible,number of vehicles,total cost,time millis
true,38,35134.155563197084,1295
true,37,40090.511113389744,1335
true,37,22861.476271221003,3164
true,36,37252.9856569335,3339
true,36,22601.8884316448,5009
true,35,37065.8845530065,13490
true,35,24247.477030481557,15111
true,34,33336.636939902724,42052
true,34,23290.952356294387,43744
true,33,30701.180308683168,82294
true,33,23367.321138856605,84815
true,32,28431.420195500094,173675
true,32,25152.232259359174,175095
true,31,24584.838487093908,297919
true,31,21361.907577675327,298946
true,31,21361.907577675327,898947
true,31,21361.907577675327,899055
