feasible,number of vehicles,total cost,time millis
true,83,48042.66298605935,1442
true,82,54577.78772186702,1905
true,82,42287.70998174015,4025
true,81,51770.56531983051,4188
true,81,42214.603668424854,6756
true,80,43403.36211516613,6757
true,80,42292.826812732754,7868
true,79,50593.63689864158,46560
true,79,42428.22591859352,49065
true,78,49018.191838591265,95751
true,78,42253.068234624094,97161
true,77,47484.31099741006,178098
true,77,41510.28628471998,179738
true,76,46091.71400391338,291958
true,76,41659.9961406222,293168
true,75,44687.99636698611,513597
true,75,41054.238558370576,514995
true,75,41054.238558370576,1115010
true,75,41054.238558370576,1115114
