feasible,number of vehicles,total cost,time millis
true,83,66627.51574195722,1309
true,82,73931.51833966568,1507
true,82,48364.034398717646,2629
true,81,49786.079678872324,2630
true,81,48411.0960213542,3166
true,80,56360.107873655645,3186
true,80,48632.794456617245,3843
true,79,72115.34575088152,4354
true,79,48147.1194283603,5406
true,78,72191.65934567497,5626
true,78,46481.88616225032,6616
true,77,69877.0152491356,6904
true,77,46502.74856441285,7970
true,76,67302.78941700897,8128
true,76,45624.74959150322,8961
true,75,68624.66163305994,9210
true,75,46341.89414090325,10070
true,74,69503.60725634867,10427
true,74,47870.301566784,11229
true,73,52529.960443782154,11251
true,73,46145.505677156274,12240
true,72,68835.84747681809,13133
true,72,46745.65355074046,14032
true,71,68020.64184804916,15697
true,71,46976.82609977277,16707
true,70,47097.11023210412,16709
true,70,46831.47007807431,17182
true,69,66849.60207318614,18044
true,69,46945.52299474242,18632
true,68,66448.88617002503,22814
true,68,45767.08669872397,23538
true,67,66621.79679888806,32822
true,67,44718.60838069696,33487
true,66,62876.9001238402,43815
true,66,46846.51434247473,45077
true,65,65239.7043629628,54816
true,65,45985.34423585194,55537
true,64,61848.86304941737,71812
true,64,45366.43597457111,72720
true,63,61657.633994143216,93624
true,63,46458.52800722425,94387
true,62,63110.26896078205,143128
true,62,47385.033630268386,143534
true,61,59565.18215318931,320761
true,61,45786.113484306006,321217
true,60,59701.67542572334,763053
true,60,46614.91609140294,763578
true,60,46614.91609140294,1363584
true,60,46614.91609140294,1363655
