feasible,number of vehicles,total cost,time millis
true,37,33853.89799668205,1317
true,36,43035.766966275696,1831
true,36,24921.266409900047,5378
true,35,38939.883506980805,11903
true,35,22008.915307656996,14361
true,34,35532.36506561715,24131
true,34,24442.73398120738,25758
true,33,33349.780356074974,55191
true,33,22432.84148075593,57495
true,32,29304.323373084215,109344
true,32,23084.621065352352,111519
true,31,27483.424170227085,223884
true,31,23729.496973256617,225031
true,30,23462.366040183766,598790
true,30,21817.109900271564,599650
true,30,21817.109900271564,1199660
true,30,21817.109900271564,1199779
