feasible,number of vehicles,total cost,time millis
true,16,57035.08439868516,1758
true,15,59634.6525591074,1761
true,15,40750.60224895656,27805
true,14,88514.39425158055,36276
true,14,43295.6411922276,59039
true,13,83189.0410616782,79053
true,13,43015.75797558755,102490
true,12,77902.35863100024,111625
true,12,45711.80095929456,126542
true,11,71489.56307003846,160516
true,11,47022.92297908617,171028
true,10,63814.79829879552,210581
true,10,47338.20824651047,218922
true,9,57351.585810471974,336871
true,9,48883.289438520434,357542
true,9,48883.289438520434,957604
true,9,48883.289438520434,959338
