feasible,number of vehicles,total cost,time millis
true,69,70632.4196736437,1402
true,68,79126.26476826651,1548
true,68,54141.67962426326,2978
true,67,76871.0999034769,3123
true,67,53500.97180513444,4881
true,66,76712.04676602187,5113
true,66,52698.748058171506,7058
true,65,61159.67614784067,7091
true,65,52100.01859300989,8267
true,64,52963.03162693297,8269
true,64,51878.64373755904,8861
true,63,70440.71928521967,8980
true,63,52005.9763550186,9944
true,62,73344.93680585903,10321
true,62,52859.3301150027,11729
true,61,74492.14817545131,12090
true,61,51045.856424362326,13597
true,60,73347.0278828171,14024
true,60,52809.17824003599,15709
true,59,70876.29893211383,15854
true,59,51974.296155571996,17460
true,58,71640.73104421124,17992
true,58,52770.95866381416,19609
true,57,66956.1951725538,19753
true,57,53074.26821727748,20963
true,56,71483.90565511858,22888
true,56,54769.526219651016,23749
true,55,71069.69741178563,28124
true,55,57803.6572746302,29344
true,54,68609.87114945333,30573
true,54,56105.50381214271,31393
true,53,68777.01964490792,41788
true,53,57141.56644767542,42722
true,52,68039.03957198931,43359
true,52,56781.21336858219,44378
true,51,66522.74778175337,79664
true,51,56583.89111652776,80531
true,50,66596.53789153243,142069
true,50,56827.50676800271,143268
true,49,66296.24556390336,250021
true,49,58498.80305437218,250822
true,48,64569.47382224952,788228
true,48,57317.24967047846,788976
true,48,57317.24967047846,1388978
true,48,57317.24967047846,1389089
