feasible,number of vehicles,total cost,time millis
true,87,71782.15018433097,1300
true,86,83654.54231686455,1455
true,86,52657.06262625047,3304
true,85,53158.94500468222,3306
true,85,52648.03238912996,3579
true,84,80618.88161776356,3718
true,84,51668.92138315999,5127
true,83,87208.30848405804,5656
true,83,50789.36467844143,6829
true,82,71966.0584346678,6885
true,82,49992.16641843199,8146
true,81,85485.40296361118,9003
true,81,50594.40494628815,10450
true,80,51343.98442172682,10451
true,80,50694.596381118026,10757
true,79,66026.4381185767,10818
true,79,49881.262091397024,12272
true,78,81818.11733866786,12800
true,78,51431.080308112476,13726
true,77,79589.78179219789,14824
true,77,50628.91546641759,16359
true,76,77578.1668231399,16596
true,76,50829.6835545865,17806
true,75,82473.11176183194,30305
true,75,49579.028790612494,32067
true,74,78577.62856125699,39550
true,74,50076.39511810316,41313
true,73,76647.92520253887,54524
true,73,49503.72743878331,55647
true,72,76934.80488480009,118530
true,72,49125.58902299677,119673
true,71,78570.94439413756,586158
true,71,50587.23153570267,587643
true,71,50587.23153570267,1187660
true,71,50587.23153570267,1187789
