feasible,number of vehicles,total cost,time millis
true,54,62534.95558083194,1307
true,53,63438.03940138266,1332
true,53,49916.800734572535,1915
true,52,60109.51661675355,1963
true,52,48505.46312538045,2888
true,51,65321.83822136592,3176
true,51,49072.070128684936,4195
true,50,59550.50635662696,4269
true,50,48645.31554802394,5451
true,49,65600.8058737917,6317
true,49,51864.902452381924,7407
true,48,63077.77786959454,8603
true,48,50170.72654657797,10310
true,47,61139.96097956582,10876
true,47,51028.56914929806,11954
true,46,60222.5938633899,12693
true,46,49878.52226351046,13706
true,45,60394.384032834314,15198
true,45,51794.268745248984,16292
true,44,59514.92161003538,18502
true,44,52447.75314421625,19376
true,43,58398.457551542946,28460
true,43,52257.88348207074,29752
true,42,56902.30491924054,49033
true,42,52482.85889532894,50008
true,41,55996.642993378744,76994
true,41,52285.98288447929,77420
true,40,54966.59449404494,165206
true,40,52231.83330974447,165832
true,39,53357.58271253307,373016
true,39,52088.01592772773,373260
true,39,52088.01592772773,973264
true,39,52088.01592772773,973349
