feasible,number of vehicles,total cost,time millis
true,73,63568.87113350899,1277
true,72,67151.13633770582,1343
true,72,46673.2720843746,2334
true,71,58818.936851908686,2382
true,71,44675.98185645762,3824
true,70,45446.34200357996,3826
true,70,44906.229153241155,4264
true,69,65252.58517029696,4370
true,69,45360.667866423115,5652
true,68,68424.98536563187,6068
true,68,46747.3931438879,7384
true,67,67860.9905205041,7646
true,67,45920.83409171026,8709
true,66,66773.2788887952,11014
true,66,47078.361114395644,12159
true,65,67476.38382795372,13507
true,65,46479.67157114547,14342
true,64,66465.0614195969,17492
true,64,46267.254157056654,18813
true,63,64318.81613624802,20621
true,63,45994.39533750109,21603
true,62,65390.49276548365,24379
true,62,46170.49541291452,25100
true,61,63307.916740459834,34982
true,61,46310.45004679037,35587
true,60,63931.97775664904,41987
true,60,45996.875277537896,42828
true,59,62022.082209167835,58207
true,59,46895.05385482484,59053
true,58,63902.52938199897,80935
true,58,46685.053479715716,81649
true,57,60284.33531130081,136214
true,57,46902.04128254341,136719
true,56,60250.57336803256,298872
true,56,46401.490916828465,299668
true,56,46401.490916828465,899670
true,56,46401.490916828465,899745
