feasible,number of vehicles,total cost,time millis
true,21,77052.73524687276,1506
true,20,79202.18078022628,1509
true,20,56599.36788733072,5419
true,19,95473.73537843842,7673
true,19,54688.63988537735,12660
true,18,90408.9597690794,13567
true,18,56028.95176761739,18338
true,17,89793.17234651567,22180
true,17,60934.693197563494,24647
true,16,82451.29813790071,28352
true,16,59049.04324184857,33758
true,15,78699.8388598252,45878
true,15,59454.44005438706,47970
true,14,75299.7874372753,61572
true,14,61457.007269049616,63850
true,13,70826.02907255266,140149
true,13,64403.22215093723,142140
true,13,64403.22215093723,742203
true,13,64403.22215093723,742510
