feasible,number of vehicles,total cost,time millis
true,80,76206.28938492948,1503
true,79,79655.87007428221,1610
true,79,60562.67265872598,2161
true,78,71873.812859298,2237
true,78,59928.935613358415,2913
true,77,75825.42233288326,2989
true,77,59765.52347811528,3525
true,76,72881.87176682793,3635
true,76,59185.53305853746,4274
true,75,75372.64576765444,4509
true,75,61581.325903483004,5149
true,74,70361.99254840573,5205
true,74,60968.87847670184,5590
true,73,74068.44111327025,5802
true,73,62363.97510992954,6516
true,72,68047.79350808097,6553
true,72,61616.637259172545,6967
true,71,77057.12561363325,7551
true,71,63806.380033598885,8157
true,70,74869.6787719275,8627
true,70,61575.73016105274,9038
true,69,76166.02211063345,9914
true,69,64316.92899790495,10369
true,68,74534.43853186777,12259
true,68,64712.265297996564,12788
true,67,74683.9444498551,13817
true,67,65425.633304401126,14137
true,66,73883.4183331738,15200
true,66,66803.37317744868,15647
true,65,73137.59295904824,17817
true,65,65848.99884458282,18335
true,64,72839.05134415752,19676
true,64,65356.397537034114,20191
true,63,72034.89179248252,40799
true,63,66212.57624729973,41179
true,62,71953.5068626564,95021
true,62,66440.27695819171,95506
true,61,72040.39179074421,209729
true,61,67871.46849741918,210070
true,60,70041.71238195755,463697
true,60,66521.07453096387,463988
true,60,66521.07453096387,1063994
true,60,66521.07453096387,1064057
