feasible,number of vehicles,total cost,time millis
true,40,47685.54473488948,1544
true,39,58617.695182004245,1864
true,39,35454.106661736296,8225
true,38,58077.04575463229,9390
true,38,35319.4366762876,14206
true,37,56483.50550153167,16058
true,37,35037.75645022543,19562
true,36,37450.871648906184,19565
true,36,35704.359891393564,21220
true,35,53118.393622869495,22629
true,35,34103.088781036604,29646
true,34,51735.10299278772,30769
true,34,33464.59336718313,34688
true,33,49927.60952537856,35435
true,33,33579.12283718094,40108
true,32,47650.27714605567,49390
true,32,33632.57909945179,54575
true,31,47022.28492369758,62064
true,31,34542.327959198636,65849
true,30,45120.516964272414,74329
true,30,33519.01890637663,77921
true,29,43663.582355914536,114158
true,29,34372.429813570685,118254
true,28,42033.262953146426,140793
true,28,34458.87159753582,144125
true,27,40247.99613510385,192890
true,27,34523.20537737078,195564
true,26,38764.812786265,411036
true,26,35156.576143279235,413576
true,25,37152.325758235456,758020
true,25,34347.98714405007,760157
true,25,34347.98714405007,1360192
true,25,34347.98714405007,1360421
