feasible,number of vehicles,total cost,time millis
true,30,64211.44117720497,1362
true,29,94722.09654806263,1716
true,29,38676.97993522208,7142
true,28,111861.6272337815,8794
true,28,39493.1369462643,12222
true,27,101560.95932497863,13191
true,27,40397.86710780982,18370
true,26,100684.4788082133,19716
true,26,42656.05084874997,23663
true,25,99369.39406135795,27337
true,25,42245.05365812859,33302
true,24,102988.66444268703,42433
true,24,43803.45513448148,47508
true,23,102637.53654325454,52677
true,23,44014.96925704555,57273
true,22,98708.88297686253,91597
true,22,50364.05038378739,95258
true,21,96906.90141664982,114810
true,21,50103.01059058585,123565
true,21,50103.01059058585,723616
true,21,50103.01059058585,724135
