feasible,number of vehicles,total cost,time millis
true,101,59460.15940085395,1519
true,100,63661.67517276032,2608
true,100,46490.649581511025,4922
true,99,47118.64966412845,4923
true,99,46802.47256634245,5372
true,98,52406.113349281455,5399
true,98,46301.89645762313,6381
true,97,46074.30023638846,6382
true,97,45912.9785457122,6718
true,96,58474.947462133234,18728
true,96,46735.06220475761,20202
true,95,59412.30622424781,41188
true,95,47513.56081532734,42471
true,94,57818.35697906389,70931
true,94,47899.47089653562,72565
true,93,55714.47816075166,107830
true,93,45997.52179667012,109340
true,92,54873.04394428498,170885
true,92,46896.94416305663,172029
true,91,53953.071983978654,251231
true,91,47375.860205869896,252138
true,90,53070.728523073434,360400
true,90,47681.64693764023,361234
true,89,51177.45788327652,537101
true,89,46970.51899520248,537828
true,88,50851.351726726665,823764
true,88,47790.77739621916,824263
true,88,47790.77739621916,1424275
true,88,47790.77739621916,1424348
