feasible,number of vehicles,total cost,time millis
true,67,69310.65486071094,1325
true,66,75289.90765631317,1620
true,66,55012.42111342573,2565
true,65,65905.41173984447,2608
true,65,54119.7647537671,3313
true,64,71782.02757143952,3708
true,64,55742.73966142633,4403
true,63,73712.84296425643,4963
true,63,57386.50591268336,5758
true,62,69643.11984726538,5875
true,62,54286.41087340902,6429
true,61,68850.97334448673,6649
true,61,54383.60437754364,7307
true,60,70341.30432778496,7889
true,60,55817.50734884406,8712
true,59,67839.42496083856,8925
true,59,54498.070250642115,9470
true,58,69001.21410055907,10114
true,58,56931.85004552744,10816
true,57,68787.2073169838,11913
true,57,60122.80694096854,12421
true,56,66219.4683726757,12932
true,56,58327.077226395966,13561
true,55,66801.63692152333,20228
true,55,59138.72379911161,20794
true,54,65526.413281342524,24411
true,54,59124.42233216437,24945
true,53,66661.01434807351,28459
true,53,61648.417546295306,28970
true,52,63677.36547882299,73455
true,52,59924.80230136568,73684
true,51,63153.38064801664,103162
true,51,59495.57506429246,103552
true,50,61083.150244786055,146301
true,50,57889.57349950925,146688
true,49,62355.56311287521,698803
true,49,60334.45590796479,699171
true,49,60334.45590796479,1299188
true,49,60334.45590796479,1299256
