feasible,number of vehicles,total cost,time millis
true,19,52844.961372868696,1419
true,18,73610.60597824767,2030
true,18,36232.3250789495,6699
true,17,42629.641022920936,6701
true,17,35122.93245211578,13129
true,16,75226.70085026031,15444
true,16,36439.706867510016,26710
true,15,71502.1494682261,28483
true,15,36864.42570290242,34407
true,14,65467.30917265182,40178
true,14,37214.537399109126,45557
true,13,63975.37721055013,142603
true,13,36587.33446944206,147291
true,12,62445.05666798253,171043
true,12,40247.32765559661,176205
true,11,55099.53740697707,402002
true,11,41534.00483981608,407111
true,11,41534.00483981608,1007163
true,11,41534.00483981608,1007580
