feasible,number of vehicles,total cost,time millis
true,20,71027.14882639251,1477
true,19,107109.13846281574,3231
true,19,50027.32595836672,8026
true,18,93972.60686918006,8675
true,18,48986.619133705746,13524
true,17,94938.14201521358,17705
true,17,50680.68998613181,23776
true,16,94963.36470818584,28584
true,16,50400.86046174672,41519
true,15,90627.11917684841,49737
true,15,53561.91062557777,62489
true,14,85459.27683929222,76243
true,14,54996.46811759627,86995
true,13,81873.5072916204,114050
true,13,56176.612525721815,122717
true,12,75801.6247804128,273620
true,12,56422.878732032994,282213
true,12,56422.878732032994,882330
true,12,56422.878732032994,883117
