feasible,number of vehicles,total cost,time millis
true,42,48324.268653713596,1465
true,41,59122.01526031505,1849
true,41,35949.6179446451,7623
true,40,38747.423048568366,7627
true,40,35466.664433182275,11216
true,39,57818.051035427496,11639
true,39,37300.34412402378,14566
true,38,56183.07028752302,15245
true,38,36420.52132503139,21786
true,37,54605.935904396574,24736
true,37,35892.782956279116,30263
true,36,53839.88045122175,32181
true,36,36546.31410963139,37008
true,35,51500.918670231316,41716
true,35,35880.02402982676,44352
true,34,50421.200956065426,45155
true,34,35353.72327361397,49163
true,33,49380.255059140676,53516
true,33,36576.23217638831,56862
true,32,47228.382912715824,73934
true,32,35733.54172596767,76346
true,31,45516.81377634021,96111
true,31,35982.992459116416,99167
true,30,44217.879856176696,129913
true,30,36296.49573811451,132803
true,29,42962.409138143485,223292
true,29,36407.8410811307,225770
true,28,41662.96673725751,485988
true,28,37066.926504984556,487882
true,28,37066.926504984556,1087890
true,28,37066.926504984556,1088114
