feasible,number of vehicles,total cost,time millis
true,38,33910.63376930145,1317
true,37,43330.27075702924,1777
true,37,23123.554726316102,4461
true,36,38231.043985300035,4643
true,36,23207.72358743148,6410
true,35,37600.66429445331,12896
true,35,23288.319959008157,15385
true,34,34986.36275358317,43373
true,34,24344.042623071695,45843
true,33,32181.500373850788,86378
true,33,24894.000405874427,87879
true,32,29558.08465082328,202655
true,32,24103.731677051317,203625
true,32,24103.731677051317,803633
true,32,24103.731677051317,803743
