feasible,number of vehicles,total cost,time millis
true,32,63384.85588139051,1244
true,31,79697.66309881925,1415
true,31,40221.207609490535,3180
true,30,86841.87587091183,3704
true,30,40538.889889086924,5352
true,29,83750.89943255845,5913
true,29,39826.60719820895,8196
true,28,67732.31586609338,8413
true,28,36718.82082174322,10013
true,27,76640.29192626946,10526
true,27,37751.53407330701,12387
true,26,38735.046337772445,12389
true,26,37905.052726736554,12803
true,25,68907.51284222459,13175
true,25,37667.01739179272,14616
true,24,61356.314009074944,14756
true,24,37971.481206501616,15948
true,23,74029.98014866121,24997
true,23,46621.750406212326,26998
true,22,74728.89506308324,108070
true,22,44062.73189110772,109991
true,22,44062.73189110772,710014
true,22,44062.73189110772,710192
