feasible,number of vehicles,total cost,time millis
true,90,68738.99112143702,1427
true,89,72106.86098196731,1485
true,89,51920.81134706116,2207
true,88,52483.589671737194,2208
true,88,51346.69867621357,2637
true,87,52230.349285783275,2639
true,87,51274.37495035194,2823
true,86,61189.717727658695,2861
true,86,50694.63425462553,3280
true,85,52076.87219430215,3281
true,85,50728.432559439025,3634
true,84,75529.12424572247,3907
true,84,50763.64429872759,4903
true,83,74469.69458201774,5310
true,83,51179.37125802007,6113
true,82,71957.56748597903,6272
true,82,49085.214315984995,6885
true,81,69226.57496549928,7061
true,81,49349.27639133021,7907
true,80,71979.54747317321,8882
true,80,49550.72779814756,9895
true,79,70910.84409667853,12223
true,79,49560.6698065421,13251
true,78,67117.86593370064,13452
true,78,49881.87681459069,14190
true,77,50430.99912822204,14192
true,77,49991.28638273313,14352
true,76,70483.62944261137,16478
true,76,49033.27695685498,17279
true,75,69275.55735808975,23038
true,75,49783.82964352864,23753
true,74,67363.44382802997,32176
true,74,49457.32495579989,33024
true,73,67385.33687649886,41952
true,73,48773.90375201103,42896
true,72,65039.52979619355,43093
true,72,48324.89995021196,43611
true,71,67688.50810793557,56255
true,71,47829.91122221392,56914
true,70,65313.79897226957,77224
true,70,48263.9431766772,77908
true,69,63881.23372836473,162626
true,69,48055.320795321255,163120
true,68,64497.70023966213,483747
true,68,49368.45423686409,484170
true,68,49368.45423686409,1084172
true,68,49368.45423686409,1084234
