feasible,number of vehicles,total cost,time millis
true,37,34263.46526945616,1350
true,36,45289.00346977378,1787
true,36,24523.369027691664,7153
true,35,42522.85472692451,10469
true,35,24456.160252775142,14019
true,34,39047.52237426965,26456
true,34,24509.482114769293,33428
true,33,36343.59728603313,74351
true,33,24316.071284563637,78007
true,32,32853.67697748691,174412
true,32,24591.314915926396,177361
true,31,29171.85065087072,337783
true,31,23368.196258045533,340516
true,31,23368.196258045533,940545
true,31,23368.196258045533,940737
