feasible,number of vehicles,total cost,time millis
true,18,43835.14612330992,3336
true,17,96868.48387353198,8710
true,17,32314.63147249925,53323
true,16,97335.16751948313,91659
true,16,31365.041305864775,148863
true,15,93293.51636431176,173483
true,15,30822.4255509713,218491
true,14,86514.28660038981,277232
true,14,31421.51723037819,355875
true,13,78800.03989720099,564816
true,13,34760.43751411466,603451
true,12,73624.8176078369,827617
true,12,32860.76440397875,860745
true,12,32860.76440397875,1462956
true,12,32860.76440397875,1468421
