feasible,number of vehicles,total cost,time millis
true,39,32177.058277418208,1682
true,38,33357.512785484985,1684
true,38,23661.229790289686,2991
true,37,38438.85847104962,10402
true,37,22835.495635764528,12110
true,36,23453.310592393893,12112
true,36,23060.687271537696,12612
true,35,33961.37240026272,16055
true,35,23063.409902342548,17199
true,34,31541.26719258842,37384
true,34,21982.706804262663,38998
true,33,28687.087557371564,102592
true,33,23330.53689399302,103977
true,32,26108.25993902226,190464
true,32,22518.942344951676,191181
true,31,23600.041047446048,376329
true,31,21259.985724141297,377142
true,31,21259.985724141297,977158
true,31,21259.985724141297,977248
