feasible,number of vehicles,total cost,time millis
true,52,47980.165614020734,1459
true,51,59664.52286804405,1674
true,51,36454.117381782045,6933
true,50,39694.60086217799,6935
true,50,36264.097343643465,9501
true,49,36474.42007675418,9503
true,49,36210.00109831845,11574
true,48,58077.65579112739,11725
true,48,34748.064379369214,16990
true,47,65051.705731508766,17303
true,47,33918.075377652625,24961
true,46,60846.31060300912,25196
true,46,33062.36543724234,32742
true,45,34744.3225582496,32745
true,45,32822.28194867261,35275
true,44,63287.568591300966,36384
true,44,33241.796252854845,41064
true,43,62370.40955214718,43233
true,43,32679.569481036393,48201
true,42,59896.90766223684,55687
true,42,33503.434253452855,63788
true,41,59584.05930226811,74051
true,41,33982.667428456734,81322
true,40,57751.73034350155,102457
true,40,33158.129587588584,108319
true,40,33158.129587588584,708348
true,40,33158.129587588584,708793
