feasible,number of vehicles,total cost,time millis
true,106,63323.06643915766,1344
true,105,65082.85142116377,6179
true,105,49101.234106053074,7210
true,104,65117.3801859899,7545
true,104,47691.33425184092,8838
true,103,48521.59162427575,8839
true,103,47577.75188034424,9290
true,102,61990.064859189435,9800
true,102,47180.09363941156,11546
true,101,61405.961115294056,15152
true,101,47476.919319628425,16732
true,100,47476.919319628425,16733
true,100,47476.919319628425,16814
true,99,58966.06646004382,36618
true,99,48008.1878839388,37775
true,98,58721.07360991954,60197
true,98,46992.971125275086,61259
true,97,58476.44402653348,92628
true,97,48540.87027957949,93719
true,96,56281.30853447379,131113
true,96,48898.91163489103,132425
true,95,55036.89620077494,172877
true,95,47370.857905942474,173672
true,94,52880.235542213944,234276
true,94,46910.60387337776,234956
true,93,53801.43728112304,308205
true,93,46881.90320836681,309009
true,92,52085.659619636914,434437
true,92,46910.83908768197,435165
true,91,51290.200652742176,911083
true,91,46219.49509340494,911505
true,91,46219.49509340494,1511509
true,91,46219.49509340494,1511573
