feasible,number of vehicles,total cost,time millis
true,29,61933.91036193755,1349
true,28,81662.79730079965,1714
true,28,38209.320694650494,3357
true,27,87752.04705993003,4045
true,27,37539.22258703092,6709
true,26,39960.62120843623,6711
true,26,37319.31191310926,8010
true,25,76851.87127715794,8382
true,25,35329.609303755446,11149
true,24,77084.25953202022,11691
true,24,38016.638583476175,13312
true,23,70814.65253300146,13574
true,23,36211.69853515396,15974
true,22,72157.1264560108,16524
true,22,36121.23359534678,18421
true,21,73430.2151024498,28401
true,21,41077.81339188497,33121
true,20,75131.43959776942,39781
true,20,42471.434833315136,41958
true,19,70521.96072481367,45750
true,19,40622.59835727716,47713
true,18,65021.94686482907,65018
true,18,40482.84164116502,66751
true,17,67506.17749097323,190262
true,17,42570.218446922016,193509
true,17,42570.218446922016,793540
true,17,42570.218446922016,793793
