feasible,number of vehicles,total cost,time millis
true,55,61362.94818343066,1381
true,54,63062.0826377025,1385
true,54,42229.216628893904,5335
true,53,44229.82462698824,5337
true,53,42296.641710027354,7644
true,52,68395.40871780587,7876
true,52,43215.22415569126,10720
true,51,63835.029710745344,10814
true,51,41637.49310365488,13352
true,50,42687.57548006796,13353
true,50,41442.354065151114,14534
true,49,42919.23442130054,14535
true,49,41974.00894076514,15837
true,48,67892.3553006371,16217
true,48,44032.03182275839,18637
true,47,65484.5462775883,19548
true,47,42764.94585030012,21934
true,46,64352.381303952825,23003
true,46,44138.86395530343,26365
true,45,64679.208495574174,27312
true,45,42741.18262153297,31033
true,44,62309.3516180624,32389
true,44,43706.260745321175,35120
true,43,61597.041828765316,37937
true,43,43308.987559340865,41702
true,42,61041.3963715586,47157
true,42,44962.86877373251,49776
true,41,59079.28751623373,51082
true,41,43577.72990353101,53438
true,40,58109.967084865406,57154
true,40,44570.403782643894,60138
true,39,56742.6863059317,74430
true,39,46340.19081253226,76639
true,38,56165.806548226705,117741
true,38,45263.42852308138,119856
true,37,53273.55991341853,177808
true,37,44748.97647557778,179797
true,36,53274.855495714,294827
true,36,47122.71281086665,296447
true,35,52054.84390204988,755633
true,35,46776.73078162221,756645
true,35,46776.73078162221,1356646
true,35,46776.73078162221,1356807
