feasible,number of vehicles,total cost,time millis
true,68,69298.34125075753,1543
true,67,84323.5629894885,1836
true,67,50191.57228959021,4894
true,66,51385.5088245412,4895
true,66,49971.16686534047,6282
true,65,82335.75529361943,6592
true,65,49946.86398488569,9269
true,64,83723.56850775331,9603
true,64,48993.2797065347,12652
true,63,51577.44039472973,12655
true,63,48571.747988924784,14156
true,62,74355.12553990862,14293
true,62,48987.613092858825,16799
true,61,77017.20718305671,16997
true,61,49404.42571491754,20201
true,60,78790.71341352726,20786
true,60,49576.41023594542,23876
true,59,79420.9092193316,24280
true,59,49178.45231453326,27458
true,58,76700.03449901429,28281
true,58,48054.54487944691,31572
true,57,76110.39651093104,32313
true,57,49411.66882567583,34801
true,56,76393.49164762245,37597
true,56,52505.277588298624,40669
true,55,76293.83255558112,42053
true,55,51967.140700123724,44211
true,54,74957.82181392724,57061
true,54,51650.07191873064,60028
true,54,51650.07191873064,660031
true,54,51650.07191873064,660212
