feasible,number of vehicles,total cost,time millis
true,19,63909.178551965226,1542
true,18,67049.62678946793,1545
true,18,42674.70198904876,12532
true,17,75883.75564736252,13309
true,17,43427.0630124943,22442
true,16,95698.36974884744,32823
true,16,47019.42312378405,47885
true,15,91552.64390255946,66124
true,15,48299.93880003669,84805
true,14,87487.73952452665,119981
true,14,49898.56408376841,135857
true,13,81463.3884588871,168645
true,13,50358.74206510085,195507
true,12,73705.83095957336,338158
true,12,51520.62157386734,350434
true,11,69309.36700774138,601924
true,11,53193.905843441375,610639
true,11,53193.905843441375,1210770
true,11,53193.905843441375,1212189
