feasible,number of vehicles,total cost,time millis
true,39,38322.01871817441,1351
true,38,40026.70639759321,1353
true,38,25101.681211966355,4144
true,37,46792.29643475176,7741
true,37,24473.922890552218,10920
true,36,44555.50666541492,13908
true,36,22706.80047159212,19079
true,35,38688.90043674468,19823
true,35,23079.422162891173,23205
true,34,37205.82066701311,44938
true,34,24332.627179361054,47640
true,33,35345.85478741583,74149
true,33,23376.741871262915,77469
true,32,31596.29341117885,134956
true,32,24830.81909666994,137085
true,31,28251.692964014863,368940
true,31,24910.221188597665,370075
true,31,24910.221188597665,970080
true,31,24910.221188597665,970206
