feasible,number of vehicles,total cost,time millis
true,102,75004.88123058244,1272
true,101,74394.30722607103,1274
true,101,55218.45079053555,2067
true,100,55218.45079053555,2068
true,100,55218.45079053555,2133
true,99,55446.492509270065,2134
true,99,55218.45079053556,2277
true,98,55218.80844659185,2278
true,98,54580.22406053512,3056
true,97,55923.87365721968,3058
true,97,54580.22406053512,3234
true,96,54884.934161791985,3236
true,96,54580.22406053512,3547
true,95,67581.83982303561,3599
true,95,53869.449824526775,4265
true,94,54125.88421806935,4266
true,94,53869.449824526775,4408
true,93,69074.48454759062,4476
true,93,54127.73312957321,4998
true,92,74857.53985667658,5274
true,92,53123.68716503381,6007
true,91,53394.7919162517,6008
true,91,52878.84868763356,6341
true,90,72071.07367924428,6511
true,90,53498.41135643229,6899
true,89,70839.00629711681,6982
true,89,53302.02357334877,7538
true,88,58931.76142143423,7556
true,88,52867.00283009277,8015
true,87,72064.81284700516,8279
true,87,53217.09341901551,8823
true,86,75851.33752813873,15705
true,86,54435.01138085747,16422
true,85,73444.74571457077,22727
true,85,53061.38470270656,23231
true,84,71239.47289495965,41242
true,84,52645.26248348513,41965
true,83,70078.72853122248,66530
true,83,53192.28613827579,67037
true,82,70948.35170576879,132558
true,82,52107.90339748501,133157
true,82,52107.90339748501,733166
true,82,52107.90339748501,733226
