feasible,number of vehicles,total cost,time millis
true,21,75255.06531930497,1359
true,20,90621.63798045159,1766
true,20,60470.63234745856,4035
true,19,83289.12407319412,4177
true,19,58884.75261635276,8385
true,18,86737.0361578966,10329
true,18,59636.43026806089,12768
true,17,82611.40572870173,17124
true,17,57995.60677406069,20680
true,16,77630.96716925272,27063
true,16,62066.54796084228,29467
true,15,77399.4326168232,44718
true,15,64745.390583059234,47459
true,14,71196.51680050897,112195
true,14,66230.49281328509,114268
true,14,66230.49281328509,714300
true,14,66230.49281328509,714557
