feasible,number of vehicles,total cost,time millis
true,105,62628.756277040135,1877
true,104,67449.44453748521,2485
true,104,49081.85262845988,3499
true,103,49683.412044099314,3501
true,103,49241.873533859994,3668
true,102,64940.78116320189,3816
true,102,48604.133619736574,4597
true,101,65037.75936140267,8922
true,101,47194.447937102515,10016
true,100,47768.56066861151,10018
true,100,47175.40822963925,10195
true,99,63634.05790418198,26321
true,99,49289.05379173773,26878
true,98,62169.089567666306,53832
true,98,46976.69653273052,54816
true,97,62076.04732451052,81970
true,97,48524.74670968503,82800
true,96,60172.79648267944,128196
true,96,49039.66330323188,128780
true,95,58531.50380558975,203520
true,95,48414.17502944929,204134
true,94,58755.839582884444,449395
true,94,48490.35892283717,450103
true,94,48490.35892283717,1050118
true,94,48490.35892283717,1050185
