feasible,number of vehicles,total cost,time millis
true,18,66429.34088483706,1384
true,17,70792.07908084134,1388
true,17,51250.0887691481,4409
true,16,85691.71907332497,6811
true,16,51251.0158963963,13091
true,15,81366.26550894533,15834
true,15,50884.84862039709,21369
true,14,75978.73457899303,23281
true,14,51456.528623495025,29597
true,13,70642.1940676493,41050
true,13,52867.59081993327,45599
true,12,66134.67386387751,64552
true,12,55100.89656298553,69566
true,11,60111.60395189925,175829
true,11,54591.14738599719,179630
true,11,54591.14738599719,779725
true,11,54591.14738599719,780186
