feasible,number of vehicles,total cost,time millis
true,38,32828.682127033906,1600
true,37,44100.08339578406,3892
true,37,24597.297886474775,6029
true,36,41993.09118171348,7770
true,36,23993.649529520415,12196
true,35,39326.13889654675,20616
true,35,23608.834991099815,22860
true,34,36598.94763364453,32624
true,34,26239.936432444738,35011
true,33,33032.91544035015,50023
true,33,25756.89495232187,51482
true,32,30516.403306480075,92775
true,32,26304.015222064096,93940
true,31,28148.217928167775,264230
true,31,26132.920419349954,265272
true,31,26132.920419349954,865300
true,31,26132.920419349954,865420
