feasible,number of vehicles,total cost,time millis
true,65,57080.176458177084,1326
true,64,59898.08919726051,1402
true,64,41481.682116440665,3058
true,63,42218.75128487594,3060
true,63,41467.75811024553,3605
true,62,41755.042430749,3607
true,62,41486.48962180793,4000
true,61,64175.39594304838,5233
true,61,40889.70031775208,6536
true,60,60340.85654337306,6711
true,60,40616.73875449359,7882
true,59,41021.58868638857,7883
true,59,40614.429286267114,8672
true,58,61791.576828046804,11692
true,58,40991.95362400185,12631
true,57,60495.180569215714,15182
true,57,40649.494597478275,16470
true,56,60126.27056027505,20306
true,56,40330.45003951392,21960
true,55,59076.24432160003,28464
true,55,39799.91603596165,29785
true,54,58498.05717602609,32240
true,54,39919.54475961415,33236
true,53,57397.301315486955,40604
true,53,40222.45691468295,41840
true,52,57434.95151695905,55067
true,52,40937.11647024716,56013
true,51,55127.93223466816,83492
true,51,40752.899452710284,84511
true,50,52317.388332490846,125247
true,50,40305.56338489149,126042
true,49,54099.56895419948,281001
true,49,41780.14787434287,281883
true,49,41780.14787434287,881901
true,49,41780.14787434287,881989
