feasible,number of vehicles,total cost,time millis
true,28,59929.95236686306,1325
true,27,76884.5117924529,1579
true,27,37934.52612775257,8034
true,26,61515.1140965306,8112
true,26,37620.4700830112,10641
true,25,84388.77583982566,11256
true,25,39390.781874872584,14570
true,24,42535.75363827549,14572
true,24,39373.96481527336,15517
true,23,86111.6288517176,16511
true,23,39696.82303982006,19502
true,22,77377.03873792585,20061
true,22,39246.47020451516,25783
true,21,75554.4068300665,26097
true,21,37084.2137062057,28638
true,20,81579.66298548736,33031
true,20,39776.47888566135,36757
true,19,76745.29715578083,47643
true,19,40899.81313715898,53014
true,18,74967.68239565336,57235
true,18,40390.751420916895,60318
true,17,74113.3320540815,72815
true,17,40617.69588453865,75785
true,17,40617.69588453865,675834
true,17,40617.69588453865,676198
