feasible,number of vehicles,total cost,time millis
true,25,52914.921777870215,1635
true,24,74039.1961716188,2042
true,24,32832.479474052656,7964
true,23,103206.4974317012,10923
true,23,32818.65881491401,23536
true,22,113954.87703634356,52700
true,22,38608.1981843827,63515
true,21,109780.37796535561,69660
true,21,37949.61338676668,87850
true,20,106668.3786941259,121101
true,20,37551.86055840449,132180
true,19,104961.84746395734,203553
true,19,39572.30047619154,219627
true,18,100145.09896099321,256892
true,18,40930.332659739266,278515
true,17,97740.33940717897,500720
true,17,41374.64759988166,517655
true,17,41374.64759988166,1117792
true,17,41374.64759988166,1119523
