feasible,number of vehicles,total cost,time millis
true,23,75605.19297474835,1370
true,22,80207.70985440943,1374
true,22,52512.185860583406,6929
true,21,89202.29825583789,7212
true,21,53161.958475223364,13816
true,20,97680.44680139345,15019
true,20,57160.89753017214,18278
true,19,99647.37035719646,20015
true,19,57752.41225638366,25061
true,18,102785.87134648663,32174
true,18,61433.18456785544,36567
true,17,94818.11425164076,50391
true,17,62082.605927966855,57392
true,16,89201.17477185276,87057
true,16,61849.68334608803,93023
true,15,86474.69573818464,190301
true,15,66199.2891950407,194792
true,15,66199.2891950407,794826
true,15,66199.2891950407,795372
