feasible,number of vehicles,total cost,time millis
true,68,59460.11196456854,1393
true,67,72689.61325488327,1507
true,67,43314.437834845616,4708
true,66,74118.63265820032,4860
true,66,42360.74539142714,9246
true,65,80561.58665018996,10013
true,65,40966.9494368829,13672
true,64,76644.75145438434,13927
true,64,40509.95943382078,19025
true,63,75439.54617744044,19297
true,63,41171.390073323426,22389
true,62,41476.38782140268,22391
true,62,41170.18635245488,22920
true,61,78386.49248010604,24015
true,61,42409.175521405225,27190
true,60,76451.02084198367,27459
true,60,41510.61218095804,30535
true,59,76887.59287357624,33174
true,59,41248.282962889025,36212
true,58,74342.09594649328,36961
true,58,40483.48265960051,39689
true,57,74073.60872404726,42708
true,57,41235.17544234575,45164
true,56,72899.833515929,53839
true,56,41382.596395999026,56588
true,55,70431.55426580779,76321
true,55,42219.679853430345,78733
true,54,71502.49721490954,100482
true,54,42875.54337550773,102546
true,53,69865.63303257528,275115
true,53,41548.17497670401,280373
true,53,41548.17497670401,880393
true,53,41548.17497670401,880630
