feasible,number of vehicles,total cost,time millis
true,74,62635.35781433258,1370
true,73,68691.81008111528,1503
true,73,45710.59709211471,2852
true,72,47530.624846516956,2853
true,72,45923.594508301314,3250
true,71,70627.26761813601,3526
true,71,46051.493507635496,4886
true,70,47171.96629283294,4888
true,70,45707.69602291193,5821
true,69,67580.55211022848,6089
true,69,45025.96667068613,7508
true,68,64435.215239674035,7682
true,68,44445.25005326431,9260
true,67,44981.072911379815,9262
true,67,44348.00315472356,10032
true,66,65899.62087943527,10352
true,66,44033.020783610285,12139
true,65,44595.73017245008,12141
true,65,43805.70635495971,12339
true,64,63582.4807577637,13488
true,64,44088.62344789017,15062
true,63,65015.227967284176,17663
true,63,44121.031827217645,18946
true,62,62204.83608961413,19535
true,62,44436.176654091534,20573
true,61,64066.34573761947,22606
true,61,44756.5860079674,23563
true,60,60956.172456945234,28670
true,60,45123.38834535551,29428
true,59,63352.59314672775,34127
true,59,44830.20527961257,35007
true,58,59596.15713932129,46211
true,58,45045.5482758501,47031
true,57,61630.86929747631,65889
true,57,45336.02021890961,66742
true,56,59270.786688691005,86111
true,56,43540.96078071338,86903
true,55,58328.00654037707,127225
true,55,44501.24579729714,128252
true,54,55870.34363920524,238821
true,54,43950.97335281441,239681
true,54,43950.97335281441,839695
true,54,43950.97335281441,839773
