feasible,number of vehicles,total cost,time millis
true,97,60318.20321504395,1546
true,96,68922.12522109269,1922
true,96,46034.05530559731,4041
true,95,47005.840031266634,4043
true,95,46159.14794900699,4301
true,94,46525.78059403969,4302
true,94,46158.76702248842,4550
true,93,66513.18626767545,5544
true,93,47844.12007675768,7281
true,92,56763.06370276131,7330
true,92,46571.50643957527,8671
true,91,53856.74602511662,8695
true,91,46838.399130135906,9492
true,90,62087.60731269144,19746
true,90,49804.242884016036,21037
true,89,62251.59810255005,27886
true,89,48171.779658140396,29560
true,88,60052.196158464874,36668
true,88,48192.316427265374,37907
true,87,58908.30558766068,59568
true,87,48248.33550626838,60926
true,86,58116.20750909612,83733
true,86,47921.771051520496,84977
true,85,57296.21917331995,107036
true,85,47624.31510087884,108309
true,84,55310.10833050549,136883
true,84,46475.900409864546,138130
true,83,54011.960244235444,199762
true,83,47340.027774985254,200707
true,82,54272.20476928395,270367
true,82,48795.56344192867,271390
true,81,52700.63226836147,371593
true,81,48820.99741337192,372690
true,80,51588.000477793605,697872
true,80,49367.612541078975,698748
true,80,49367.612541078975,1298751
true,80,49367.612541078975,1298828
